language_cat,corpus,information_density,semantic_density
bcl,Bible_Full,-94.046425,90.778236
pan,Bible_Full,-108.9986,95.497208
pap,Bible_Full,-97.121696,101.15652
dje,Bible_Full,-101.57781,97.867706
pdc,Bible_Full,-104.20517,87.716698
pis,Bible_Full,-112.39976,89.22541
kan,Bible_Full,-91.835724,130.09021
sna,Bible_Full,-83.049988,116.32437
pmx,Bible_Full,-101.37469,95.94136
poh,Bible_Full,-122.26656,67.55117
pam,Bible_Full,-100.04986,89.06089
prs,Bible_Full,-102.66757,109.13888
tgl,Bible_Full,-102.97639,102.31976
quc,Bible_Full,-108.07399,77.585625
ind,Bible_Full,-94.224586,99.858734
qug,Bible_Full,-94.83123,127.13956
quy,Bible_Full,-82.101837,162.55347
qvi,Bible_Full,-103.24448,109.56579
qxr,Bible_Full,-85.588776,132.84061
rad,Bible_Full,-103.63757,88.822121
ria,Bible_Full,-113.29818,91.698555
qub,Bible_Full,-86.693794,154.08022
kor,Bible_Full,-85.907394,125.33783
pag,Bible_Full,-96.759094,86.203255
obl,Bible_Full,-117.25347,72.478035
ndo,Bible_Full,-93.449875,117.78083
nhe,Bible_Full,-105.19436,97.108673
nhw,Bible_Full,-105.68948,95.351563
niq,Bible_Full,-86.433662,115.24415
njm,Bible_Full,-92.032616,109.62108
njn,Bible_Full,-92.861732,111.89288
njo,Bible_Full,-86.097076,109.45103
njz,Bible_Full,-108.7446,92.44603
nmf,Bible_Full,-82.440872,129.55708
nng,Bible_Full,-111.3674,101.08291
nno,Bible_Full,-93.62384,98.688637
nnp,Bible_Full,-99.355339,104.41229
nor,Bible_Full,-95.946121,102.89929
nph,Bible_Full,-84.979057,112.75684
npo,Bible_Full,-97.727119,97.027695
nsa,Bible_Full,-76.771492,123.85798
nso,Bible_Full,-99.644989,104.49796
nst,Bible_Full,-135.93675,76.932991
nya,Bible_Full,-84.87011,97.588562
nyn,Bible_Full,-87.151169,108.48183
nzm,Bible_Full,-112.06332,82.135361
rop,Bible_Full,-107.8493,87.981903
sda,Bible_Full,-93.245323,97.691582
crp,Bible_Full,-108.89188,96.097015
sot,Bible_Full,-101.18385,103.25749
vap,Bible_Full,-110.41685,92.07579
ven,Bible_Full,-101.89971,90.016914
wbm,Bible_Full,-117.05087,91.294571
xpe,Bible_Full,-109.47983,82.885384
yao,Bible_Full,-97.726357,83.071411
yim,Bible_Full,-79.313797,121.82508
yor,Bible_Full,-104.16385,90.572441
zho,Bible_Full,-97.766106,105.99551
bos,Bible_Full,-92.650543,112.73312
zlm,Bible_Full,-89.599983,95.238701
afr,Bible_Full,-99.691902,101.08261
zom,Bible_Full,-101.49239,103.37792
zul,Bible_Full,-78.02562,145.7561
kek,Bible_Full,-119.80498,95.09668
nld,Bible_Full,-107.36234,101.77222
swe,Bible_Full,-104.79871,100.52212
ell,Bible_Full,-102.03239,103.26989
slv,Bible_Full,-100.65479,106.56138
ron,Bible_Full,-101.53904,98.766258
nep,Bible_Full,-117.49505,108.47658
lam,Bible_Full,-87.367958,117.59355
deu,Bible_Full,-98.037369,99.545334
nde,Bible_Full,-83.638962,152.76427
urd,Bible_Full,-116.48168,87.206543
tzo,Bible_Full,-114.49717,85.085022
sqi,Bible_Full,-102.82013,100.72243
ssw,Bible_Full,-88.115219,144.02992
suk,Bible_Full,-109.31989,68.718445
suz,Bible_Full,-102.49394,87.477051
swh,Bible_Full,-89.871094,81.736137
tam,Bible_Full,-80.990433,179.06648
tat,Bible_Full,-94.05584,142.9816
teo,Bible_Full,-81.082474,124.45765
tgk,Bible_Full,-96.836113,115.78526
tha,Bible_Full,-119.35699,56.57383
tih,Bible_Full,-96.516899,88.36235
ita,Bible_Full,-99.142769,103.90021
tob,Bible_Full,-110.39568,79.805603
rus,Bible_Full,-89.924057,111.31193
toi,Bible_Full,-82.506958,125.76452
ton,Bible_Full,-110.86612,87.314064
trp,Bible_Full,-97.402885,106.33657
